beeldid,LEGEND,trfwf_original,pays_quid,lieu_wikidata_qid,lieu_wikidata_name,BPALLASF,lien_phototheque,spatial - key - key,spatial - value - value,imageclassification - class1,imageclassification - prob1,imageclassification - class2,imageclassification - prob2,imageclassification - class3,imageclassification - prob3,imageclassification - class4,imageclassification - prob4,imageclassification - class5,imageclassification - prob5
00009500,Brussel. L'église St.e. Marie. [Sipho],bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9500&rqdb=1&dbnu=1,LOC PLACE,Brussel,mosque,0.313512,synagogue,0.242379,church,0.156034,arch,0.0622188,palace,0.053268
00009500,,,,,,,,LOC BUILDING,L' église St . e. Marie,mosque,0.313512,synagogue,0.242379,church,0.156034,arch,0.0622188,palace,0.053268
00009520,Bruxelles. Grand' Place.,bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9520&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,building facade,0.20342,hotel,0.184267,apartment building,0.129882,office building,0.0715442,palace,0.0667176
00009520,,,,,,,,LOC STREET,Grand ' Place,building facade,0.20342,hotel,0.184267,apartment building,0.129882,office building,0.0715442,palace,0.0667176
00009537,Bruxelles. La Château de Tervuren.  [Sipho],bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9537&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,palace,0.334647,mansion,0.233139,castle,0.180997,hospital,0.050541,building facade,0.0442231
00009537,,,,,,,,LOC BUILDING,La Château de Tervuren,palace,0.334647,mansion,0.233139,castle,0.180997,hospital,0.050541,building facade,0.0442231
00009544,Bruxelles. Place de la Monnaie. [Sipho],bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9544&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,library,0.706734,museum,0.0918927,courtyard,0.0285524,courthouse,0.0266215,palace,0.0246814
00009544,,,,,,,,LOC SPACES,Place de la Monnaie,library,0.706734,museum,0.0918927,courtyard,0.0285524,courthouse,0.0266215,palace,0.0246814
00009549,"Bruxelles. Vue du Palais de Justice pris du Parc, rue Royale.  [Frei gegeben durch zensur] [Sipho]",bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9549&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,street,0.554976,promenade,0.219579,ticket booth,0.0633451,plaza,0.0452762,palace,0.0293442
00009549,,,,,,,,LOC BUILDING,Palais de Justice,street,0.554976,promenade,0.219579,ticket booth,0.0633451,plaza,0.0452762,palace,0.0293442
00009549,,,,,,,,LOC STREET,rue Royale,street,0.554976,promenade,0.219579,ticket booth,0.0633451,plaza,0.0452762,palace,0.0293442
00009551,Bruxelles - La gare du Nord. [Sipho],bruxelles (belgique)--photographies,Q31,Q239,Bruxelles,Vues de Bruxelles : 1942-1944. -  124 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9551&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,plaza,0.184917,embassy,0.1469,hospital,0.138439,mosque,0.0992114,palace,0.0941225
00009551,,,,,,,,LOC BUILDING,La gare du Nord,plaza,0.184917,embassy,0.1469,hospital,0.138439,mosque,0.0992114,palace,0.0941225
00009705,Gand. Hôtel des Postes. [Frei gegeben durch zensur] [Sipho],gent (belgique)--photographies,Q31,Q1296,Gand,"Vues de Gent, 1942-1943. - 54 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9705&rqdb=1&dbnu=1,LOC PLACE,Gand,church,0.235078,palace,0.20628,tower,0.0759896,office building,0.0686262,hospital,0.0615263
00009712,Eglise Saint-Nicolas et le monument de Georges Minne. [Frei gegeben durch zensur] [Sipho],gent (belgique)--photographies,Q31,Q1296,Gand,"Vues de Gent, 1942-1943. - 54 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9712&rqdb=1&dbnu=1,LOC BUILDING,Eglise,plaza,0.151032,courthouse,0.114809,cemetery,0.113776,amusement park,0.102538,tower,0.0996163
00009732,Gand. Maison des Bouchers. [Sipho],gent (belgique)--photographies,Q31,Q1296,Gand,"Vues de Gent, 1942-1943. - 54 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9732&rqdb=1&dbnu=1,LOC PLACE,Gand,street,0.274491,plaza,0.18687,courtyard,0.115429,residential neighborhood,0.102309,alley,0.0381409
00009736,"Gand, 4e Ville du Royaume est à la fois une ville riche en monuments historiques et une ville industrielle. La ""Fontaine aux Adolescents"", monument de George Minne, dont la réplique se trouve au Sénat à Bruxelles.[Frei gegeben durch zensur] [Sipho]",gent (belgique)--photographies,Q31,Q1296,Gand,"Vues de Gent, 1942-1943. - 54 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9736&rqdb=1&dbnu=1,LOC PLACE,Gand,plaza,0.147155,stage,0.135074,stage,0.0700355,music studio,0.0581309,courthouse,0.0418169
00009736,,,,,,,,LOC MONUMENT,"La "" Fontaine aux Adolescents """,plaza,0.147155,stage,0.135074,stage,0.0700355,music studio,0.0581309,courthouse,0.0418169
00009736,,,,,,,,LOC PLACE,Bruxelles,plaza,0.147155,stage,0.135074,stage,0.0700355,music studio,0.0581309,courthouse,0.0418169
00009746,Bruxelles. L'Eglise de St. Gilles au clair de lune. 3 mars 1942 (Paul Van Sintjan),"saint-gilles (bruxelles, belgique)--photographies",Q31,Q237674,Saint-Gilles,"Vues de Saint-Gilles (Bruxelles), 3/3/1942. - 2 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9746&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,church,0.212551,tower,0.145003,palace,0.133381,mosque,0.110916,mansion,0.107114
00009746,,,,,,,,LOC BUILDING,L' Eglise de St . Gilles,church,0.212551,tower,0.145003,palace,0.133381,mosque,0.110916,mansion,0.107114
00009764,Campine Belge - Tongres. Statue de Vereingétorix. [Frei gegeben durch zensur] [Sipho],tongeren (belgique)--photographies,Q31,Q190113,Tongres,"Vues de Tongres, 1940-1945. - 1 photo",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9764&rqdb=1&dbnu=1,LOC PLACE,Belge,church,0.642562,tower,0.250606,plaza,0.0335741,palace,0.0207616,building facade,0.0107639
00009770,Turnhout. Eglise de Turnhout et la grand'place.  [Sipho],turnhout (belgique)--photographies,Q31,Q271783,Turnhout,Vues de Turnhout : 1940-1945. -  3 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9770&rqdb=1&dbnu=1,LOC BUILDING,Eglise,mosque,0.259349,church,0.248445,tower,0.216372,palace,0.0791293,building facade,0.0374139
00009770,,,,,,,,LOC STREET,la grand'place,mosque,0.259349,church,0.248445,tower,0.216372,palace,0.0791293,building facade,0.0374139
00009778,Le perron de Verviers.  [Sipho],verviers (belgique)--photographies,Q31,Q202954,Verviers,Vues de Verviers : 1940-1945. - 1 photo,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9778&rqdb=1&dbnu=1,LOC PLACE,Verviers,mosque,0.243435,tower,0.189359,castle,0.0999823,church,0.0604882,palace,0.0568197
00009967,Les géants. Roland d'Hayebrouck photographié à Ypres. [Sipho],folklore--belgique,Q31,Q31,Belgique,"Fêtes des géants, 1940-1945. - 18 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9967&rqdb=1&dbnu=1,LOC PLACE,Ypres,plaza,0.405153,embassy,0.10692,palace,0.0837794,street,0.057322,apartment building,0.048968
00009971,Géants de Lille. A gauche Wanne d'Ostende. [Sipho],folklore--belgique,Q31,Q31,Belgique,"Fêtes des géants, 1940-1945. - 18 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=9971&rqdb=1&dbnu=1,LOC PLACE,Ostende,plaza,0.337939,museum,0.152045,stage,0.0827774,schoolhouse,0.0592743,amusement park,0.057194
00010116,"Folklore flamand. Le pèlerinage d'Hakendover, près de Tirlemont le lundi de Pâques. L'Eglise de la petite cité d'Hakendover vers laquelle afflue la masse des pèlerins. [censure photographique] [Sipho]",fetes religieuses--hakendover (belgique),Q31,Q3125831,Hakendover,"Procession à Hakendover, 1940-1945. - 9 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10116&rqdb=1&dbnu=1,LOC BUILDING,Eglise,church,0.674401,courthouse,0.0697651,tower,0.0592461,schoolhouse,0.0299996,plaza,0.0279405
00010237,"Molenbeek. Fête de Mai en plein air. Chants et jeux du drapeau exécutés par ""Vivo"" le 25/05/1941.[Belgapress]",fetes de mai--molenbeek-saint-jean (belgique),Q31,Q180775,Molenbeek-Saint-Jean,"Fête de mai à Molenbeek organisée par le VIVO, 25/5/1941. - 1 photo",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10237&rqdb=1&dbnu=1,LOC PLACE,Molenbeek,plaza,0.440031,ice skating rink,0.0884273,auditorium,0.0523312,conference center,0.0467313,stage,0.0387974
00010259,Fête de mai au parc Duden le 2/5/1941 (VIVO). [2/5/1943] [Sipho],"fetes de mai--forest (bruxelles, belgique)",Q31,Q72946,Forest,"Fête de mai organisée par le VIVO au Parc Duden à Forest, 2/5/1941. - 9 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10259&rqdb=1&dbnu=1,LOC SPACES,parc Duden,plaza,0.485463,campus,0.107396,cemetery,0.105986,ice skating rink,0.0618163,amphitheater,0.0489043
00010675,Les funerailles de Jean Odekerken ont eu lieu ce samedi matin à Bruxelles. Le dépouille mortelle à la sortie de l'Eglise. [Frei gegeben durch zensur] [Sipho],"sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles de Jean Odekerken à Bruxelles, 10/1941. - 1 photo",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10675&rqdb=1&dbnu=1,LOC BUILDING,Eglise,street,0.868183,plaza,0.0463547,alley,0.031701,medina,0.0192396,downtown,0.0086546
00010675,,,,,,,,LOC PLACE,Bruxelles,street,0.868183,plaza,0.0463547,alley,0.031701,medina,0.0192396,downtown,0.0086546
00010683,"'enterrement du sous-chef de police de Bruxelles. Mr. Desschans, abattu par les terroristes, a eu lieu le 14 mars 1944. Le Bourgmestre de la ville pendant son allocution.  Le cortège à la Grande Place. -- -- De begrafenis van de heer Desschans, onderchef van de politie van Brussel, neergekogeld door de terroristen heeft plaats gehad op 14 maart 1944. -- -- De lijkstoet op de Grote Markt. [20/3/1944] [Frei gegeben durch zensur] [Sipho]","sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles du commissaire de police Desschans à Bruxelles, 14/3/1944. - 4 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10683&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,plaza,0.363596,street,0.32055,aqueduct,0.111431,castle,0.052353,palace,0.0429532
00010683,,,,,,,,LOC STREET,la Grande Place,plaza,0.363596,street,0.32055,aqueduct,0.111431,castle,0.052353,palace,0.0429532
00010687,"Enterrement du sous-chef de la Police de Bruxelles, Mr. Desschans, 14/3/1944.  [Sipho]","sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles du commissaire de police Desschans à Bruxelles, 14/3/1944. - 4 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10687&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,plaza,0.692598,bullring,0.102225,campus,0.0775413,aqueduct,0.0505325,courtyard,0.0450878
00010703,Enterrement tzigane au camp d'Elewijt près de Malines. Tous les nomades donnent un pas de conduite au cortège funèbre que seule la femme du défunt et les hommes de la tribu pourront suivre jusqu'à  l'église. [Sipho],"guerre mondiale (1939-1945)--tsiganes--elewijt (belgique), sepulture--elewijt (belgique), funerailles--rites et ceremonies--elewijt (belgique)","Q31, Q31, Q31","Q1990353, Q1990353, Q1990353","Elewijt, Elewijt, Elewijt",Funérailles d'un roi tsigane à Elewijt : 1940-1945. -  11 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10703&rqdb=1&dbnu=1,LOC PLACE,Malines,bazaar,0.845973,market,0.0593538,street,0.0234034,flea market,0.0229635,slum,0.0132808
00010712,Enterrement tzigane au camp d'Elewijt près de Malines. Le cadavre est mis dans un cercueil pendant que toute le tribu récite des prières. Au préalable le veuve a dû se coucher dans la bière où le corps de son mari sera enfermé. [Max Hayek] [Frei gegeben durch zensur] [Sipho],"guerre mondiale (1939-1945)--tsiganes--elewijt (belgique), sepulture--elewijt (belgique), funerailles--rites et ceremonies--elewijt (belgique)","Q31, Q31, Q31","Q1990353, Q1990353, Q1990353","Elewijt, Elewijt, Elewijt",Funérailles d'un roi tsigane à Elewijt : 1940-1945. -  11 photos,http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10712&rqdb=1&dbnu=1,LOC PLACE,Malines,bazaar,0.412893,market,0.285444,flea market,0.0685136,racecourse,0.053219,army base,0.0347694
00010725,Cimetière de Bruges.,"sepulture--brugge (belgique), funerailles--rites et ceremonies--brugge (belgique), soldats morts--brugge (belgique)","Q31, Q31, Q31","Q12994, Q12994, Q12994","Bruges, Bruges, Bruges","Funérailles de militaires allemands à Brugge, 1940-1942. - 10 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10725&rqdb=1&dbnu=1,LOC PLACE,Bruges,church,0.693996,tower,0.141022,cemetery,0.0329912,mausoleum,0.0156232,campus,0.0154536
00010748,"Les obsèques de monsieur Theugels, bourgmestre de Charleroi, lâchement assassiné par des inconnus.N.P.M.L a foule place de l'Hôtel de Ville à Charleroi. [Frei gegeben durch zensur] [Sipho]","sepulture--belgique, funerailles--rites et ceremonies--belgique","Q31, Q31","Q31, Q31","Belgique, Belgique","Funérailles de Prosper Jean Teughels, bourgmestre de Charleroi, 24/11/1942. - 3 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10748&rqdb=1&dbnu=1,LOC BUILDING,l' Hôtel de Ville,plaza,0.531891,campus,0.0934448,mosque,0.0629748,palace,0.0613113,courtyard,0.0492881
00010752,"Les obsèques de monsieur Theugels, bourgmestre de Charleroi lâchement assassiné par des inconnus. La levée du corps à l'hôtel de ville de Charleroi. [25/11/1942] [Frei gegeben durch zensur] [Sipho]","sepulture--belgique, funerailles--rites et ceremonies--belgique","Q31, Q31","Q31, Q31","Belgique, Belgique","Funérailles de Prosper Jean Teughels, bourgmestre de Charleroi, 24/11/1942. - 3 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10752&rqdb=1&dbnu=1,LOC BUILDING,l' hôtel de ville,crosswalk,0.437731,street,0.136894,gymnasium,0.0566222,plaza,0.0369128,television studio,0.0272809
00010753,De lijkplechtigheid van Paul Colin en Gaston Bekeman had plaats te Brussel op 17 april. Het lichten van de lijken. -- -- Les funerailles de Paul Colin et de Gaston Bekeman ont eu lieu à Bruxelles le 17 avril. La levée des corps. [19/4/1943] [Frei gegeben durch zensur] [Sipho],"sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles de Paul Colin et G. Bekeman à Bruxelles, 17/4/1943. - 10 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10753&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,bazaar,0.407263,medina,0.221365,alley,0.0524682,shopfront,0.0307418,diner,0.0295156
00010920,De begrafenisplechtigheid van leider Staf De Clercq. Een zicht op de lijkstoet in de Wetstraat. -- -- Les funérailles de Mr. Staf De Clercq. Le cortège funèbre  rue de la Loi. [censure photographique 27/10/1942] [Belgapress],"sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles de Staf de Clercq : le convoi funèbre à Bruxelles, 27/10/1942. - 63 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10920&rqdb=1&dbnu=1,LOC STREET,rue de la Loi,street,0.320782,fountain,0.078812,promenade,0.0701655,plaza,0.0623742,canal,0.0543282
00010921,"Funérailles de monsieur Staf De Clercq, à Bruxelles le 27 octobre 1942. [Frei gegeben durch zensur] [Sipho]","sepulture--bruxelles (belgique), funerailles--rites et ceremonies--bruxelles (belgique)","Q31, Q31","Q239, Q239","Bruxelles, Bruxelles","Funérailles de Staf de Clercq : le convoi funèbre à Bruxelles, 27/10/1942. - 63 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=10921&rqdb=1&dbnu=1,LOC PLACE,Bruxelles,plaza,0.952164,courtyard,0.00967438,embassy,0.00795168,fountain,0.00414978,building facade,0.00360651
00011323,Funérailles des 3 policiers tués à Forest. Com. Adj. Vanderhaeghen et les agents Verstraeten et Henry. 4/3/1944. [Sipho],"sepulture--forest (bruxelles, belgique), funerailles--rites et ceremonies--forest (bruxelles, belgique)","Q31, Q31","Q72946, Q72946","Forest, Forest","Funérailles de trois agents de police à Forest, 4/3/1944. - 5 photos",http://pallas.cegesoma.be/pls/opac/opac.search?lan=F&seop=5&sele=52&sepa=1&doty=_CA&sest=&chna=&senu=11323&rqdb=1&dbnu=1,LOC PLACE,Forest,street,0.832774,ski resort,0.0580135,fire station,0.0207718,apartment building,0.013923,residential neighborhood,0.0135137
